,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,20%,0%,25%,0%,25%,20%,0%,25%,0%,0%,,,,,,,,,,,SPY,,,,AOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Estrategia,%,,,Max # Posiciones,Max %  por posición,,,,,,,,,,
Date,Smart DCA Acciones,Smart DCA Defensivo,Smart Global 60/40,Satellite Synergy,AllWeather FLEX,AllWeather Leverage,Oso Perezoso,Fuerza 6,Rotacion Defensiva D4,AllWeather TAA,NDX Core 9,BuyHold SPY,BuyHold 60/40,,,Date,Estrategia,BuyHold SPY,BuyHold 60/40,$$ MaxT1,$$ MinT1,$$ Draw Down T1,% Draw Down ,$$ MaxT1,$$ MinT1,$$ Draw Down T1,% Draw Down ,$$ MaxT1,$$ MinT1,$$ Draw Down T1,% Draw Down ,,Date,Estrategia,S&P500,60/40,,,,,,,,,,,,,,,,,,,,,Smart_DCA_Acciones,0%,,,,,,,,,,,,,,
1/3/2007,"$99,215.87 ","$98,776.20 ","$99,040.85 ","$99,860.00 ","$98,525.09 ","$98,841.04 ","$100,000.00 ","$98,290.65 ","$100,000.00 ","$97,977.35 ","$99,202.74 ","$99,378.72 ","$100,000.00 ",,,1/3/2007,"$114,055.61 ","$99,378.72 ","$100,000.00 "," 114,056 "," 114,056 ", -   ,0.0%," 99,379 "," 99,379 ", -   ,0.0%," 100,000 "," 100,000 ", -   ,0.0%,,1/3/2007,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,Smart_DCA_Defensivo,0%,,,,,,,,,,,,,,
1/4/2007,"$98,377.82 ","$98,582.97 ","$98,461.34 ","$99,933.26 ","$97,419.90 ","$97,927.95 ","$100,000.00 ","$97,184.28 ","$100,000.00 ","$96,597.61 ","$100,860.19 ","$99,590.52 ","$100,000.00 ",,,1/4/2007,"$113,979.76 ","$99,590.52 ","$100,000.00 "," 114,056 "," 113,980 ", (76),-0.1%," 99,591 "," 99,591 ", -   ,0.0%," 100,000 "," 100,000 ", -   ,0.0%,,1/4/2007,-0.1%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,Smart_Global 60/40,0%,,,,,,,,,,,,,,
1/5/2007,"$96,176.78 ","$97,197.59 ","$96,588.04 ","$99,650.02 ","$95,642.39 ","$96,346.10 ","$100,000.00 ","$96,168.37 ","$100,000.00 ","$95,061.69 ","$100,347.74 ","$98,792.74 ","$100,000.00 ",,,1/5/2007,"$113,145.56 ","$98,792.74 ","$100,000.00 "," 114,056 "," 113,146 ", (910),-0.8%," 99,591 "," 98,793 ", (798),-0.8%," 100,000 "," 100,000 ", -   ,0.0%,,1/5/2007,-0.8%,-0.8%,0.0%,,,,,,,,,,,,,,,,,,,,,Satellite Synergy,20%,,,,,,,,,,,,,,
1/8/2007,"$96,594.58 ","$97,527.55 ","$96,970.40 ","$99,756.38 ","$96,119.21 ","$96,600.48 ","$100,000.00 ","$96,479.73 ","$100,000.00 ","$95,457.86 ","$100,191.96 ","$99,251.64 ","$100,000.00 ",,,1/8/2007,"$113,269.32 ","$99,251.64 ","$100,000.00 "," 114,056 "," 113,269 ", (786),-0.7%," 99,591 "," 99,252 ", (339),-0.3%," 100,000 "," 100,000 ", -   ,0.0%,,1/8/2007,-0.7%,-0.3%,0.0%,,,,,,,,,,,,,,,,,,,,,AllWeather_FLEX,0%,,,,,,,,,,,,,,
1/9/2007,"$95,558.56 ","$97,820.22 ","$96,466.19 ","$99,747.32 ","$95,190.58 ","$96,155.15 ","$100,000.00 ","$96,403.52 ","$100,000.00 ","$94,658.53 ","$101,383.11 ","$99,166.92 ","$100,000.00 ",,,1/9/2007,"$113,434.91 ","$99,166.92 ","$100,000.00 "," 114,056 "," 113,435 ", (621),-0.5%," 99,591 "," 99,167 ", (424),-0.4%," 100,000 "," 100,000 ", -   ,0.0%,,1/9/2007,-0.5%,-0.4%,0.0%,,,,,,,,,,,,,,,,,,,,,AllWeather_Leverage,25%,,,,,,,,,,,,,,
1/10/2007,"$95,074.21 ","$97,388.56 ","$96,003.18 ","$99,824.70 ","$94,495.47 ","$95,519.66 ","$100,000.00 ","$95,878.93 ","$100,000.00 ","$93,841.00 ","$102,381.16 ","$99,498.74 ","$100,000.00 ",,,1/10/2007,"$113,409.88 ","$99,498.74 ","$100,000.00 "," 114,056 "," 113,410 ", (646),-0.6%," 99,591 "," 99,499 ", (92),-0.1%," 100,000 "," 100,000 ", -   ,0.0%,,1/10/2007,-0.6%,-0.1%,0.0%,,,,,,,,,,,,,,,,,,,,,OsoPerezoso,0%,,,4,0.0%,,,,,,,,,,
1/11/2007,"$95,986.62 ","$97,126.40 ","$96,445.38 ","$99,918.70 ","$95,020.57 ","$95,813.68 ","$100,000.00 ","$96,110.55 ","$100,000.00 ","$94,084.67 ","$103,235.57 ","$99,936.46 ","$100,000.00 ",,,1/11/2007,"$113,773.69 ","$99,936.46 ","$100,000.00 "," 114,056 "," 113,774 ", (282),-0.2%," 99,936 "," 99,936 ", -   ,0.0%," 100,000 "," 100,000 ", -   ,0.0%,,1/11/2007,-0.2%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,Fuerza_SEIS_F6,25%,,,1-4,6.3% - 25.0%,,,,,,,,,,
1/12/2007,"$97,520.37 ","$98,112.89 ","$97,759.00 ","$100,066.18 ","$96,873.12 ","$97,221.81 ","$100,000.00 ","$97,861.22 ","$100,000.00 ","$96,329.02 ","$103,462.01 ","$100,698.94 ","$100,000.00 ",,,1/12/2007,"$114,649.50 ","$100,698.94 ","$100,000.00 "," 114,649 "," 114,649 ", -   ,0.0%," 100,699 "," 100,699 ", -   ,0.0%," 100,000 "," 100,000 ", -   ,0.0%,,1/12/2007,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,RotacionDefensiva-D4,20%,,,1,20.0%,,,,,,,,,,
1/16/2007,"$97,633.79 ","$98,062.04 ","$97,806.73 ","$99,860.11 ","$96,668.72 ","$97,069.51 ","$100,000.00 ","$96,973.15 ","$100,000.00 ","$96,016.26 ","$104,374.78 ","$100,501.26 ","$100,000.00 ",,,1/16/2007,"$114,576.38 ","$100,501.26 ","$100,000.00 "," 114,649 "," 114,576 ", (73),-0.1%," 100,699 "," 100,501 ", (198),-0.2%," 100,000 "," 100,000 ", -   ,0.0%,,1/16/2007,-0.1%,-0.2%,0.0%,,,,,,,,,,,,,,,,,,,,,AllWeather TAA,0%,,,3,0.0%,,,,,,,,,,
