Estrategia,Fecha,Ganancia,CAGR,Max Caída,Volatilidad,# Trades,% Ganador,Gan. Promedio,Perdida Prom,Duración Ganador,Duración Perdedor,Profit Factor, Sharpe ,Perfil Riesgo,Posiciones Simultaneas,Min Inversión (USD),
Smart_DCA_Acciones,1/3/07 - 6/30/26,"$1,157,961 ",13.90%,-61.00%,24.80%,21,71%,67.30%,9.10%,593,150,13.6,0.7,Arriesgado,2,"1,500",
Smart_DCA_Defensivo,1/3/07 - 6/30/26,"$220,521 ",6.20%,-19.20%,9.80%,221,53%,4.30%,2.50%,55,32,1.9,0.7,Moderado,2,500,
Smart_Global 60/40,1/3/07 - 6/30/26,"$759,941 ",11.70%,-36.90%,15.30%,242,55%,11.40%,2.90%,116,39,5.1,0.8,Arriesgado,4,"2,500",
AllWeather TAA,1/3/07 - 6/30/26,"$588,775 ",10.50%,-14.00%,12.40%,79,65%,14.80%,3.90%,157,68,7.6,0.9,Moderado,3,"1,700",
AllWeather_FLEX,1/3/07 - 6/30/26,"$582,006 ",10.40%,-19.90%,14.00%,252,57%,19.40%,4.70%,110,49,3.2,0.8,Arriesgado,5,"2,800",
AllWeather_Leverage,1/3/07 - 6/30/26,"$1,425,626 ",15.10%,-24.50%,20.10%,229,51%,30.70%,7.00%,133,43,3.3,0.8,Arriesgado,5,"2,800",
OsoPerezoso,1/3/07 - 6/30/26,"$373,851 ",8.30%,-19.20%,10.80%,39,54%,41.30%,5.90%,514,60,9.4,0.8,Arriesgado,4,"2,500",
Fuerza_SEIS_F6,1/3/07 - 6/30/26,"$1,047,134 ",13.40%,-17.10%,13.20%,37,65%,27.30%,5.60%,324,87,10.5,1,Arriesgado,4,"1,200",
RotacionDefensiva-D4,1/3/07 - 6/30/26,"$167,477 ",5.30%,-24.10%,12.50%,70,50%,5.20%,2.00%,60,20,2.2,0.5,Arriesgado,1,100,
Satellite Synergy,1/3/07 - 6/30/26,"$377,429 ",8.40%,-10.90%,7.60%,322,66%,6.90%,3.10%,82,34,3.7,1.1,Moderado,7,"5,600",
NDX_Core9,1/3/07 - 6/30/26,"$2,502,460 ",18.30%,-40.10%,20.50%,156,48%,65.20%,10.00%,306,71,6.7,0.9,Arriesgado,9, 7000-17000 ,
